    1 ?    	3 init      
 1641 ?    	0 pulseaudio
 1643 ?    	0 rtkit-daemon
 1674 ?    	0 indicator-keybo
 1676 ?    	0 indicator-messa
 1677 ?    	0 indicator-bluet
 1695 ?    	0 indicator-power
 1703 ?    	0 indicator-datet
 1713 ?    	0 indicator-sound
 1722 ?    	0 indicator-print
 1727 ?    	0 indicator-sessi
 1739 ?    	0 kworker/5:1H
 1766 ?    	0 indicator-appli
 1823 ?    	0 evolution-sourc
 1829 ?    	0 colord    
 1831 ?    	0 dconf-service
 1849 ?    	0 notify-osd
 1857 ?    	259 compiz    
 1867 ?    	0 evolution-calen
 1871 ?    	0 polkit-gnome-au
 1900 ?    	0 nm-applet 
 1904 ?    	0 unity-fallback-
 1908 ?    	0 nautilus  
 1917 ?    	0 gvfs-udisks2-vo
 1923 ?    	0 udisksd   
 1942 ?    	0 gvfs-mtp-volume
 1946 ?    	0 gvfs-gphoto2-vo
 1954 ?    	0 gconfd-2  
 1957 ?    	0 gvfs-afc-volume
 1971 ?    	0 gvfsd-trash
 1980 ?    	0 gvfsd-burn
 2029 ?    	0 cupsd     
 2056 ?    	0 telepathy-indic
 2063 ?    	0 mission-control
 2076 ?    	0 zeitgeist-datah
 2081 ?    	0 zeitgeist-daemo
 2087 ?    	0 zeitgeist-fts
 2112 ?    	0 cat       
 2138 ?    	0 update-notifier
 2161 ?    	7 gnome-terminal
 2168 ?    	0 gnome-pty-helpe
 2169 xxxxxxx	0 bash      
 2187 ?    	0 deja-dup-monito
 2524 xxxxxxx	0 a.out     
